group,sample_name,well,valid_partitions,volume_per_well,mastermix_volume,dead_volume,colorpair,positives_ab1,lambda_ab1,positives_ab2,lambda_ab2,positives_double,couplex_positives,random_positives,rcoverlap_positives,diff_to_obs,couplexes
ABX#1,ABC,G1,25353,19.578,1,-18.578,GO,2069,0.0994048529719791,3450,0.16145453344198835,330,0.0,358.0,0.0,784.0,0.0
ABX#1,S#1,G2,25284,19.156,1,-18.156,GO,2092,0.10719031014059688,3329,0.16318918952789474,478,123.0,357.0,2.0,0.0,6.0
ABX#1,S#2,G3,25045,19.303,1,-18.303,GO,2051,0.10414123310988366,3369,0.16431731143915407,426,69.0,358.0,1.0,0.0,4.0
ABX#1,ABC,H1,25308,19.721,1,-18.721,GO,2812,0.15054174232052908,4572,0.23483842892521167,725,0.0,740.0,0.0,225.0,0.0
ABX#1,S#1,H2,25219,19.408,1,-18.408,GO,2641,0.1524074837913627,4496,0.2419662473055073,924,241.0,683.0,-0.0,0.0,12.0
ABX#1,S#2,H3,25176,19.539,1,-18.539,GO,2864,0.154494982287126,4546,0.23567406689622494,740,0.0,757.0,0.0,289.0,0.0
ABX#1,S#1,A2,25295,19.858,1,-18.858,GR,3178,0.13448630015864005,32,0.0014638105199225038,5,0.0,5.0,0.0,0.0,0.0
ABX#1,S#2,A3,25170,19.63,1,-18.63,GR,3294,0.14049125076680902,27,0.0012721636445789386,5,1.0,4.0,0.0,0.0,0.0
ABX#1,ABC,B1,25088,19.683,1,-18.683,GR,3908,0.16975732348119443,24,0.0013162357563079041,9,4.0,5.0,0.0,0.0,0.0
ABX#1,S#1,B2,25324,19.231,1,-18.231,GR,3247,0.1375786538158561,19,0.001066751054320747,8,5.0,3.0,0.0,0.0,0.0
ABX#1,S#2,B3,25355,19.306,1,-18.306,GR,3173,0.1337398826783307,21,0.0008680556100646442,1,0.0,3.0,0.0,4.0,0.0
ABX#1,ABC,C1,25344,19.494,1,-18.494,GR,2881,0.12076154371535708,28,0.0011844132617575553,2,0.0,3.0,0.0,1.0,0.0
ABX#1,S#1,C2,25353,18.915,1,-17.915,GR,2686,0.11225168097766769,21,0.001065530202037479,6,3.0,3.0,0.0,0.0,0.0
ABX#1,S#2,C3,25445,19.221,1,-18.221,GR,2029,0.08314241740528949,24,0.00098299427948767,1,0.0,2.0,0.0,1.0,0.0
ABX#1,ABC,D1,25288,19.374,1,-18.374,GR,3219,0.1362920125752023,33,0.001424614407937952,3,0.0,5.0,0.0,4.0,0.0
ABX#1,S#1,D2,25447,18.714,1,-17.714,GR,1747,0.07116500469775566,25,0.0010222537652033736,1,0.0,2.0,0.0,1.0,0.0
ABX#1,S#2,D3,25263,19.172,1,-18.172,GR,3403,0.1448653913275848,33,0.0014656660509633213,4,0.0,5.0,0.0,1.0,0.0
ABX#1,ABC,E1,25372,19.423,1,-18.423,GR,2891,0.12119813052169803,25,0.0011831053949329373,5,2.0,3.0,0.0,0.0,0.0
ABX#1,S#1,E2,25432,18.807,1,-17.807,GR,1704,0.0694367303695902,27,0.0011409463222555871,2,0.0,2.0,0.0,0.0,0.0
ABX#1,S#2,E3,25350,18.944,1,-17.944,GR,3089,0.13016709485610534,23,0.0011051469391318847,5,2.0,3.0,0.0,0.0,0.0
ABX#1,ABC,F1,25363,19.45,1,-18.45,GR,3003,0.1260624945348443,27,0.0011045801746369932,1,0.0,3.0,0.0,4.0,0.0
ABX#1,S#1,F2,25325,18.902,1,-17.902,GR,2539,0.1057774063178325,30,0.001303909938378922,3,0.0,3.0,0.0,0.0,0.0
ABX#1,S#2,F3,25393,19.178,1,-18.178,GR,2158,0.08889986369810465,31,0.0013004159222305134,2,0.0,3.0,0.0,1.0,0.0
ABX#1,ABC,G1,25353,19.578,1,-18.578,GR,2397,0.0994048529719791,32,0.0013419642051815117,2,0.0,3.0,0.0,1.0,0.0
